	GeneID	logFC	logCPM	F	PValue	FDR	Accession	Isoform	E-value	ProteinN	GO_BP	GO_CC	GO_MF	GO	Status	Organism
68	TRINITY_DN311753_c2_g6	15.358577	9.301833048	34.63662028	2.40E-06	6.27E-05	P04146	TRINITY_DN311753_c2_g6_i1	1.50E-06	Copia protein (Gag-int-pol protein) [Cleaved into: Copia VLP protein; Copia protease (EC 3.4.23.-)]	DNA integration [GO:0015074]	retrotransposon nucleocapsid [GO:0000943]	aspartic-type endopeptidase activity [GO:0004190]; ATP binding [GO:0005524]; nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]	GO:0000943; GO:0003676; GO:0004190; GO:0005524; GO:0008270; GO:0015074	reviewed	Drosophila melanogaster (Fruit fly)
69	TRINITY_DN312002_c0_g1	18.65497786	13.95319864	102.1568598	8.08E-12	7.09E-10	A8X0C4	TRINITY_DN312002_c0_g1_i7	7.10E-11	Serine/threonine-protein kinase par-4 (EC 2.7.11.1)	establishment of cell polarity [GO:0030010]; glucose homeostasis [GO:0042593]; mitotic cell cycle [GO:0000278]; multicellular organism development [GO:0007275]; regulation of cell growth [GO:0001558]; regulation of cytokinesis [GO:0032465]	cell cortex [GO:0005938]; centrosome [GO:0005813]; cytoplasm [GO:0005737]; nucleus [GO:0005634]; spindle pole [GO:0000922]	ATP binding [GO:0005524]; metal ion binding [GO:0046872]; protein kinase activator activity [GO:0030295]; protein serine/threonine kinase activity [GO:0004674]	GO:0000278; GO:0000922; GO:0001558; GO:0004674; GO:0005524; GO:0005634; GO:0005737; GO:0005813; GO:0005938; GO:0007275; GO:0030010; GO:0030295; GO:0032465; GO:0042593; GO:0046872	reviewed	Caenorhabditis briggsae
70	TRINITY_DN312005_c1_g1	9.770060165	7.021388309	13.98677469	0.000830329	0.013995414	Q4PBY6	TRINITY_DN312005_c1_g1_i1	6.30E-06	"Cytochrome c peroxidase, mitochondrial (CCP) (EC 1.11.1.5)"	cellular response to oxidative stress [GO:0034599]; hydrogen peroxide catabolic process [GO:0042744]; response to reactive oxygen species [GO:0000302]	chloroplast [GO:0009507]; mitochondrial intermembrane space [GO:0005758]; mitochondrial matrix [GO:0005759]	cytochrome-c peroxidase activity [GO:0004130]; heme binding [GO:0020037]; metal ion binding [GO:0046872]; peroxidase activity [GO:0004601]	GO:0000302; GO:0004130; GO:0004601; GO:0005758; GO:0005759; GO:0009507; GO:0020037; GO:0034599; GO:0042744; GO:0046872	reviewed	Ustilago maydis (strain 521 / FGSC 9021) (Corn smut fungus)
71	TRINITY_DN312006_c1_g5	-11.74636701	8.460980218	13.1439879	0.000981429	0.016118081	Q58A42	TRINITY_DN312006_c1_g5_i1	4.30E-121	Protein DD3-3		integral component of membrane [GO:0016021]		GO:0016021	reviewed	Dictyostelium discoideum (Slime mold)
72	TRINITY_DN312093_c0_g3	22.24464612	12.26004776	123.1893943	8.08E-12	7.09E-10	Q2M5E4	TRINITY_DN312093_c0_g3_i1	3.90E-10	Regulator of G-protein signaling 21 (RGS21)	G protein-coupled receptor signaling pathway [GO:0007186]; negative regulation of signal transduction [GO:0009968]	plasma membrane [GO:0005886]	GTPase activity [GO:0003924]	GO:0003924; GO:0005886; GO:0007186; GO:0009968	reviewed	Homo sapiens (Human)
73	TRINITY_DN312701_c0_g2	16.97230683	10.82614004	58.0219398	1.29E-08	4.25E-07	Q9HC07	TRINITY_DN312701_c0_g2_i1	9.00E-09	Transmembrane protein 165 (Transmembrane protein PT27) (Transmembrane protein TPARL)	cellular calcium ion homeostasis [GO:0006874]; Golgi calcium ion transport [GO:0032472]; protein N-linked glycosylation [GO:0006487]; regulation of lysosomal lumen pH [GO:0035751]	early endosome membrane [GO:0031901]; endosome membrane [GO:0010008]; Golgi apparatus [GO:0005794]; integral component of membrane [GO:0016021]; intracellular membrane-bounded organelle [GO:0043231]; late endosome membrane [GO:0031902]; lysosomal membrane [GO:0005765]; trans-Golgi network membrane [GO:0032588]		GO:0005765; GO:0005794; GO:0006487; GO:0006874; GO:0010008; GO:0016021; GO:0031901; GO:0031902; GO:0032472; GO:0032588; GO:0035751; GO:0043231	reviewed	Homo sapiens (Human)
74	TRINITY_DN312701_c0_g3	17.81120991	12.23120407	84.2138572	9.28E-11	4.40E-09	Q93Y38	TRINITY_DN312701_c0_g3_i1	3.00E-21	GDT1-like protein 3		Golgi apparatus [GO:0005794]; integral component of membrane [GO:0016021]		GO:0005794; GO:0016021	reviewed	Arabidopsis thaliana (Mouse-ear cress)
75	TRINITY_DN312702_c0_g1	13.69689136	8.661179046	17.91618933	0.000220763	0.004418701	Q0DB53	TRINITY_DN312702_c0_g1_i3	1.40E-06	DEAD-box ATP-dependent RNA helicase 52A (EC 3.6.4.13)			ATP binding [GO:0005524]; helicase activity [GO:0004386]; RNA binding [GO:0003723]	GO:0003723; GO:0004386; GO:0005524	reviewed	Oryza sativa subsp. japonica (Rice)
76	TRINITY_DN312722_c5_g1	-6.211857714	10.59374475	14.96476803	0.000466856	0.008306152	P23324	TRINITY_DN312722_c5_g1_i6	9.50E-06	Polyubiquitin [Cleaved into: Ubiquitin]		cytoplasm [GO:0005737]; nucleus [GO:0005634]		GO:0005634; GO:0005737	reviewed	Euplotes eurystomus (Ciliate)
77	TRINITY_DN312726_c1_g4	19.49740552	15.24884959	100.7679884	9.64E-12	7.72E-10	P51906	TRINITY_DN312726_c1_g4_i1	4.30E-48	Excitatory amino acid transporter 3 (Excitatory amino-acid carrier 1) (Sodium-dependent glutamate/aspartate transporter 3) (Solute carrier family 1 member 1)	chloride transmembrane transport [GO:1902476]; cysteine transmembrane transport [GO:1903712]; cysteine transport [GO:0042883]; D-aspartate import across plasma membrane [GO:0070779]; L-aspartate import across plasma membrane [GO:0140009]; L-glutamate import [GO:0051938]; L-glutamate import across plasma membrane [GO:0098712]; L-glutamate transmembrane transport [GO:0015813]; positive regulation of heart rate [GO:0010460]; protein homooligomerization [GO:0051260]	apical plasma membrane [GO:0016324]; early endosome membrane [GO:0031901]; integral component of plasma membrane [GO:0005887]; membrane [GO:0016020]; plasma membrane [GO:0005886]; recycling endosome membrane [GO:0055038]	chloride transmembrane transporter activity [GO:0015108]; cysteine transmembrane transporter activity [GO:0033229]; glutamate:sodium symporter activity [GO:0015501]; glutamate binding [GO:0016595]; high-affinity glutamate transmembrane transporter activity [GO:0005314]; L-glutamate transmembrane transporter activity [GO:0005313]; metal ion binding [GO:0046872]	GO:0005313; GO:0005314; GO:0005886; GO:0005887; GO:0010460; GO:0015108; GO:0015501; GO:0015813; GO:0016020; GO:0016324; GO:0016595; GO:0031901; GO:0033229; GO:0042883; GO:0046872; GO:0051260; GO:0051938; GO:0055038; GO:0070779; GO:0098712; GO:0140009; GO:1902476; GO:1903712	reviewed	Mus musculus (Mouse)
78	TRINITY_DN312737_c1_g1	22.74767972	13.85165927	127.8846073	1.39E-12	6.02E-10	P52504	TRINITY_DN312737_c1_g1_i1	1.50E-08	"NADH dehydrogenase [ubiquinone] iron-sulfur protein 6, mitochondrial (Complex I-13kD-A) (CI-13kD-A) (NADH-ubiquinone oxidoreductase 13 kDa-A subunit)"	"mitochondrial electron transport, NADH to ubiquinone [GO:0006120]"	mitochondrial respiratory chain complex I [GO:0005747]		GO:0005747; GO:0006120	reviewed	Rattus norvegicus (Rat)
79	TRINITY_DN312737_c2_g2	16.51602456	9.764168498	40.38062098	6.77E-07	2.02E-05	Q8K3E5	TRINITY_DN312737_c2_g2_i1	2.60E-07	Jouberin (Abelson helper integration site 1 protein) (AHI-1)	cellular protein localization [GO:0034613]; central nervous system development [GO:0007417]; cilium assembly [GO:0060271]; cloaca development [GO:0035844]; eye photoreceptor cell development [GO:0042462]; heart looping [GO:0001947]; hindbrain development [GO:0030902]; Kupffer's vesicle development [GO:0070121]; left/right axis specification [GO:0070986]; morphogenesis of a polarized epithelium [GO:0001738]; negative regulation of apoptotic process [GO:0043066]; negative regulation of glucose import [GO:0046325]; non-motile cilium assembly [GO:1905515]; otic vesicle development [GO:0071599]; photoreceptor cell outer segment organization [GO:0035845]; positive regulation of gene expression [GO:0010628]; positive regulation of growth [GO:0045927]; positive regulation of neuron projection development [GO:0010976]; positive regulation of polarized epithelial cell differentiation [GO:0030862]; positive regulation of receptor internalization [GO:0002092]; positive regulation of transcription by RNA polymerase II [GO:0045944]; pronephric duct morphogenesis [GO:0039023]; pronephric nephron tubule morphogenesis [GO:0039008]; protein localization to organelle [GO:0033365]; regulation of behavior [GO:0050795]; regulation of protein secretion [GO:0050708]; retina development in camera-type eye [GO:0060041]; retina layer formation [GO:0010842]; retinal cone cell development [GO:0046549]; retinal rod cell development [GO:0046548]; specification of axis polarity [GO:0065001]; transmembrane receptor protein tyrosine kinase signaling pathway [GO:0007169]; vesicle-mediated transport [GO:0016192]; vesicle targeting [GO:0006903]	adherens junction [GO:0005912]; cell-cell junction [GO:0005911]; centriole [GO:0005814]; centrosome [GO:0005813]; ciliary basal body [GO:0036064]; cilium [GO:0005929]; cytoplasm [GO:0005737]; MKS complex [GO:0036038]; non-motile cilium [GO:0097730]; photoreceptor outer segment [GO:0001750]	identical protein binding [GO:0042802]	GO:0001738; GO:0001750; GO:0001947; GO:0002092; GO:0005737; GO:0005813; GO:0005814; GO:0005911; GO:0005912; GO:0005929; GO:0006903; GO:0007169; GO:0007417; GO:0010628; GO:0010842; GO:0010976; GO:0016192; GO:0030862; GO:0030902; GO:0033365; GO:0034613; GO:0035844; GO:0035845; GO:0036038; GO:0036064; GO:0039008; GO:0039023; GO:0042462; GO:0042802; GO:0043066; GO:0045927; GO:0045944; GO:0046325; GO:0046548; GO:0046549; GO:0050708; GO:0050795; GO:0060041; GO:0060271; GO:0065001; GO:0070121; GO:0070986; GO:0071599; GO:0097730; GO:1905515	reviewed	Mus musculus (Mouse)
80	TRINITY_DN314232_c4_g4	-9.57218931	7.936025538	12.29167705	0.001359688	0.020985062	Q9UR07	TRINITY_DN314232_c4_g4_i1	2.80E-27	Transposon Tf2-11 polyprotein (Retrotransposable element Tf2 155 kDa protein)	DNA integration [GO:0015074]; DNA recombination [GO:0006310]	nucleus [GO:0005634]	aspartic-type endopeptidase activity [GO:0004190]; DNA binding [GO:0003677]; DNA-directed DNA polymerase activity [GO:0003887]; endonuclease activity [GO:0004519]; metal ion binding [GO:0046872]; RNA binding [GO:0003723]; RNA-directed DNA polymerase activity [GO:0003964]	GO:0003677; GO:0003723; GO:0003887; GO:0003964; GO:0004190; GO:0004519; GO:0005634; GO:0006310; GO:0015074; GO:0046872	reviewed	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)
81	TRINITY_DN314258_c2_g2	-6.985995006	10.08923859	11.96321401	0.001468935	0.021880292	Q9ZT94	TRINITY_DN314258_c2_g2_i1	5.60E-23	Retrovirus-related Pol polyprotein from transposon RE2 (Retro element 2) (AtRE2) [Includes: Protease RE2 (EC 3.4.23.-); Reverse transcriptase RE2 (EC 2.7.7.49); Endonuclease RE2]	DNA integration [GO:0015074]; DNA recombination [GO:0006310]	retrotransposon nucleocapsid [GO:0000943]	aspartic-type endopeptidase activity [GO:0004190]; endonuclease activity [GO:0004519]; metal ion binding [GO:0046872]; nucleic acid binding [GO:0003676]; RNA-directed DNA polymerase activity [GO:0003964]	GO:0000943; GO:0003676; GO:0003964; GO:0004190; GO:0004519; GO:0006310; GO:0015074; GO:0046872	reviewed	Arabidopsis thaliana (Mouse-ear cress)
82	TRINITY_DN314271_c0_g1	18.31552718	11.07072249	81.16131929	3.35E-10	1.36E-08	Q949G5	TRINITY_DN314271_c0_g1_i1	1.60E-06	MOB kinase activator-like 1A (Mob1 homolog 1A) (Mps one binder kinase activator-like 1A) (MsMob1-1) (MsMob1-2) (MsMob1-3) (MsMob1-A)		cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; phragmoplast [GO:0009524]	metal ion binding [GO:0046872]	GO:0005737; GO:0005856; GO:0009524; GO:0046872	reviewed	Medicago sativa subsp. falcata (Sickle medic) (Medicago falcata)
83	TRINITY_DN314271_c1_g1	14.52432827	9.29812505	32.06826656	3.11E-06	7.98E-05	P04146	TRINITY_DN314271_c1_g1_i3	2.50E-37	Copia protein (Gag-int-pol protein) [Cleaved into: Copia VLP protein; Copia protease (EC 3.4.23.-)]	DNA integration [GO:0015074]	retrotransposon nucleocapsid [GO:0000943]	aspartic-type endopeptidase activity [GO:0004190]; ATP binding [GO:0005524]; nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]	GO:0000943; GO:0003676; GO:0004190; GO:0005524; GO:0008270; GO:0015074	reviewed	Drosophila melanogaster (Fruit fly)
84	TRINITY_DN314627_c5_g1	-6.399750047	10.31708471	11.01619761	0.002149105	0.029923948	P10978	TRINITY_DN314627_c5_g1_i2	1.70E-08	Retrovirus-related Pol polyprotein from transposon TNT 1-94 [Includes: Protease (EC 3.4.23.-); Reverse transcriptase (EC 2.7.7.49); Endonuclease]	DNA integration [GO:0015074]	retrotransposon nucleocapsid [GO:0000943]	aspartic-type endopeptidase activity [GO:0004190]; endonuclease activity [GO:0004519]; nucleic acid binding [GO:0003676]; RNA-directed DNA polymerase activity [GO:0003964]; zinc ion binding [GO:0008270]	GO:0000943; GO:0003676; GO:0003964; GO:0004190; GO:0004519; GO:0008270; GO:0015074	reviewed	Nicotiana tabacum (Common tobacco)
85	TRINITY_DN314629_c1_g3	-11.54037028	8.780989075	17.78551047	0.000196197	0.00398934	Q94HW2	TRINITY_DN314629_c1_g3_i1	1.40E-43	Retrovirus-related Pol polyprotein from transposon RE1 (Retro element 1) (AtRE1) [Includes: Protease RE1 (EC 3.4.23.-); Reverse transcriptase RE1 (EC 2.7.7.49); Endonuclease RE1]	DNA integration [GO:0015074]; DNA recombination [GO:0006310]	retrotransposon nucleocapsid [GO:0000943]	aspartic-type endopeptidase activity [GO:0004190]; endonuclease activity [GO:0004519]; metal ion binding [GO:0046872]; nucleic acid binding [GO:0003676]; RNA-directed DNA polymerase activity [GO:0003964]	GO:0000943; GO:0003676; GO:0003964; GO:0004190; GO:0004519; GO:0006310; GO:0015074; GO:0046872	reviewed	Arabidopsis thaliana (Mouse-ear cress)
86	TRINITY_DN314831_c1_g5	9.563815728	7.059218481	13.16543414	0.001114917	0.01763221	A8XDJ2	TRINITY_DN314831_c1_g5_i1	2.00E-12	Ubiquitin thioesterase otubain-like (EC 3.4.19.12) (Deubiquitinating enzyme otubain-like) (Ubiquitin-specific-processing protease otubain-like)	protein K48-linked deubiquitination [GO:0071108]	nucleus [GO:0005634]	NEDD8-specific protease activity [GO:0019784]; thiol-dependent ubiquitin-specific protease activity [GO:0004843]; ubiquitin binding [GO:0043130]	GO:0004843; GO:0005634; GO:0019784; GO:0043130; GO:0071108	reviewed	Caenorhabditis briggsae
87	TRINITY_DN314888_c2_g4	-10.44624634	10.36853735	23.40365715	2.74E-05	0.000604181	Q94HW2	TRINITY_DN314888_c2_g4_i1	3.70E-133	Retrovirus-related Pol polyprotein from transposon RE1 (Retro element 1) (AtRE1) [Includes: Protease RE1 (EC 3.4.23.-); Reverse transcriptase RE1 (EC 2.7.7.49); Endonuclease RE1]	DNA integration [GO:0015074]; DNA recombination [GO:0006310]	retrotransposon nucleocapsid [GO:0000943]	aspartic-type endopeptidase activity [GO:0004190]; endonuclease activity [GO:0004519]; metal ion binding [GO:0046872]; nucleic acid binding [GO:0003676]; RNA-directed DNA polymerase activity [GO:0003964]	GO:0000943; GO:0003676; GO:0003964; GO:0004190; GO:0004519; GO:0006310; GO:0015074; GO:0046872	reviewed	Arabidopsis thaliana (Mouse-ear cress)
88	TRINITY_DN316234_c0_g1	8.652953447	10.81469926	16.82655359	0.00023875	0.004705212	Q00645	TRINITY_DN316234_c0_g1_i1	1.10E-06	Pectate lyase plyB (EC 4.2.2.2)	cell wall organization [GO:0071555]; pectin catabolic process [GO:0045490]	extracellular region [GO:0005576]	metal ion binding [GO:0046872]; pectate lyase activity [GO:0030570]	GO:0005576; GO:0030570; GO:0045490; GO:0046872; GO:0071555	reviewed	Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139) (Aspergillus nidulans)
89	TRINITY_DN316237_c1_g2	-5.344180192	12.06777552	16.46476539	0.000271379	0.005188596	Q94HW2	TRINITY_DN316237_c1_g2_i5	1.50E-53	Retrovirus-related Pol polyprotein from transposon RE1 (Retro element 1) (AtRE1) [Includes: Protease RE1 (EC 3.4.23.-); Reverse transcriptase RE1 (EC 2.7.7.49); Endonuclease RE1]	DNA integration [GO:0015074]; DNA recombination [GO:0006310]	retrotransposon nucleocapsid [GO:0000943]	aspartic-type endopeptidase activity [GO:0004190]; endonuclease activity [GO:0004519]; metal ion binding [GO:0046872]; nucleic acid binding [GO:0003676]; RNA-directed DNA polymerase activity [GO:0003964]	GO:0000943; GO:0003676; GO:0003964; GO:0004190; GO:0004519; GO:0006310; GO:0015074; GO:0046872	reviewed	Arabidopsis thaliana (Mouse-ear cress)
90	TRINITY_DN316900_c0_g1	17.34857455	9.830848518	44.34658904	3.01E-07	9.18E-06	Q03168	TRINITY_DN316900_c0_g1_i5	3.60E-10	Lysosomal aspartic protease (EC 3.4.23.-)		lysosome [GO:0005764]	aspartic-type endopeptidase activity [GO:0004190]	GO:0004190; GO:0005764	reviewed	Aedes aegypti (Yellowfever mosquito) (Culex aegypti)
91	TRINITY_DN316936_c6_g6	-8.294308142	9.509645519	12.07703171	0.001404182	0.021271833	P10978	TRINITY_DN316936_c6_g6_i1	1.10E-86	Retrovirus-related Pol polyprotein from transposon TNT 1-94 [Includes: Protease (EC 3.4.23.-); Reverse transcriptase (EC 2.7.7.49); Endonuclease]	DNA integration [GO:0015074]	retrotransposon nucleocapsid [GO:0000943]	aspartic-type endopeptidase activity [GO:0004190]; endonuclease activity [GO:0004519]; nucleic acid binding [GO:0003676]; RNA-directed DNA polymerase activity [GO:0003964]; zinc ion binding [GO:0008270]	GO:0000943; GO:0003676; GO:0003964; GO:0004190; GO:0004519; GO:0008270; GO:0015074	reviewed	Nicotiana tabacum (Common tobacco)
92	TRINITY_DN317247_c5_g1	-5.135485344	12.41473518	15.06273278	0.000450344	0.008125215	P10978	TRINITY_DN317247_c5_g1_i1	1.20E-29	Retrovirus-related Pol polyprotein from transposon TNT 1-94 [Includes: Protease (EC 3.4.23.-); Reverse transcriptase (EC 2.7.7.49); Endonuclease]	DNA integration [GO:0015074]	retrotransposon nucleocapsid [GO:0000943]	aspartic-type endopeptidase activity [GO:0004190]; endonuclease activity [GO:0004519]; nucleic acid binding [GO:0003676]; RNA-directed DNA polymerase activity [GO:0003964]; zinc ion binding [GO:0008270]	GO:0000943; GO:0003676; GO:0003964; GO:0004190; GO:0004519; GO:0008270; GO:0015074	reviewed	Nicotiana tabacum (Common tobacco)
93	TRINITY_DN317297_c1_g3	15.79094956	9.128840514	36.19880689	1.68E-06	4.58E-05	Q9P2K9	TRINITY_DN317297_c1_g3_i3	4.90E-10	Protein dispatched homolog 3 (Patched domain-containing protein 2)	cholesterol homeostasis [GO:0042632]; cholesterol metabolic process [GO:0008203]; negative regulation of neuron differentiation [GO:0045665]; positive regulation of lipid metabolic process [GO:0045834]; positive regulation of neural precursor cell proliferation [GO:2000179]; regulation of lipid transport [GO:0032368]; smoothened signaling pathway [GO:0007224]	cytoplasm [GO:0005737]; cytoplasmic vesicle membrane [GO:0030659]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; nuclear membrane [GO:0031965]		GO:0005737; GO:0005783; GO:0005789; GO:0007224; GO:0008203; GO:0016021; GO:0030659; GO:0031965; GO:0032368; GO:0042632; GO:0045665; GO:0045834; GO:2000179	reviewed	Homo sapiens (Human)
94	TRINITY_DN317297_c2_g1	21.33990163	12.54171776	122.0424258	2.51E-12	6.02E-10	A0A0D3QS97	TRINITY_DN317297_c2_g1_i3	1.10E-06	Palmitoleoyl-protein carboxylesterase notum2 (EC 3.1.1.98)	Wnt signaling pathway [GO:0016055]	extracellular region [GO:0005576]	carboxylic ester hydrolase activity [GO:0052689]	GO:0005576; GO:0016055; GO:0052689	reviewed	Xenopus laevis (African clawed frog)
95	TRINITY_DN384783_c0_g1	11.15855281	7.408287438	17.12886196	0.000284888	0.005366791	P55567	TRINITY_DN384783_c0_g1_i1	2.90E-12	Uncharacterized protein y4mH			hydrolase activity [GO:0016787]	GO:0016787	reviewed	Sinorhizobium fredii (strain NBRC 101917 / NGR234)
96	TRINITY_DN449830_c0_g1	9.642015125	7.063410062	13.46867926	0.000999184	0.01620196	Q8IVF4	TRINITY_DN449830_c0_g1_i1	4.00E-65	"Dynein heavy chain 10, axonemal (Axonemal beta dynein heavy chain 10) (Ciliary dynein heavy chain 10)"	microtubule-based movement [GO:0007018]	axoneme [GO:0005930]; dynein complex [GO:0030286]; microtubule [GO:0005874]	"ATP binding [GO:0005524]; ATP-dependent microtubule motor activity, minus-end-directed [GO:0008569]; dynein intermediate chain binding [GO:0045505]; dynein light chain binding [GO:0045503]; dynein light intermediate chain binding [GO:0051959]"	GO:0005524; GO:0005874; GO:0005930; GO:0007018; GO:0008569; GO:0030286; GO:0045503; GO:0045505; GO:0051959	reviewed	Homo sapiens (Human)
97	TRINITY_DN52678_c0_g1	8.72647247	6.924226495	11.44808219	0.0021125	0.029737497	P08262	TRINITY_DN52678_c0_g1_i1	7.10E-13	5-aminolevulinate synthase (EC 2.3.1.37) (5-aminolevulinic acid synthase) (Delta-ALA synthase) (Delta-aminolevulinate synthase)	protoporphyrinogen IX biosynthetic process [GO:0006782]		5-aminolevulinate synthase activity [GO:0003870]; pyridoxal phosphate binding [GO:0030170]	GO:0003870; GO:0006782; GO:0030170	reviewed	Bradyrhizobium diazoefficiens (strain JCM 10833 / IAM 13628 / NBRC 14792 / USDA 110)
98	TRINITY_DN54630_c0_g1	7.214400847	6.55812138	10.57233156	0.002964546	0.039455514	Q9FKP1	TRINITY_DN54630_c0_g1_i1	2.00E-06	Cation/calcium exchanger 1 (AtCCX1) (Protein CATION EXCHANGER 7)	potassium ion transport [GO:0006813]; sodium ion transport [GO:0006814]	integral component of membrane [GO:0016021]; vacuolar membrane [GO:0005774]	antiporter activity [GO:0015297]	GO:0005774; GO:0006813; GO:0006814; GO:0015297; GO:0016021	reviewed	Arabidopsis thaliana (Mouse-ear cress)
99	TRINITY_DN54639_c0_g1	7.577527561	6.644372458	10.22324726	0.003402217	0.04402263	P92519	TRINITY_DN54639_c0_g1_i1	3.30E-21	Uncharacterized mitochondrial protein AtMg00810 (ORF240b)		mitochondrion [GO:0005739]; retrotransposon nucleocapsid [GO:0000943]		GO:0000943; GO:0005739	reviewed	Arabidopsis thaliana (Mouse-ear cress)
100	TRINITY_DN66609_c0_g1	8.716100321	6.799184942	11.97994361	0.001727159	0.024859449	Q0V6M5	TRINITY_DN66609_c0_g1_i1	2.50E-09	Bifunctional lycopene cyclase/phytoene synthase [Includes: Lycopene beta-cyclase (EC 5.5.1.19) (Lycopene cyclase); Phytoene synthase (EC 2.5.1.32)]	carotenoid biosynthetic process [GO:0016117]; ergosterol biosynthetic process [GO:0006696]	integral component of membrane [GO:0016021]	farnesyl-diphosphate farnesyltransferase activity [GO:0004310]; geranylgeranyl-diphosphate geranylgeranyltransferase activity [GO:0016767]; intramolecular lyase activity [GO:0016872]; squalene synthase activity [GO:0051996]	GO:0004310; GO:0006696; GO:0016021; GO:0016117; GO:0016767; GO:0016872; GO:0051996	reviewed	Phaeosphaeria nodorum (strain SN15 / ATCC MYA-4574 / FGSC 10173) (Glume blotch fungus) (Parastagonospora nodorum)
